dataset_name,strategy,compute_time,fit_time_1,fit_time_2,fit_time_3,fit_time_4,fit_time_5,score_time_1,score_time_2,score_time_3,score_time_4,score_time_5,test_r2_1,test_r2_2,test_r2_3,test_r2_4,test_r2_5,test_neg_mean_squared_error_1,test_neg_mean_squared_error_2,test_neg_mean_squared_error_3,test_neg_mean_squared_error_4,test_neg_mean_squared_error_5,test_neg_mean_absolute_error_1,test_neg_mean_absolute_error_2,test_neg_mean_absolute_error_3,test_neg_mean_absolute_error_4,test_neg_mean_absolute_error_5
employee_salaries,TableVectorizer,0 days 00:00:22.452265,17.824941873550415,18.20668053627014,18.871926069259644,18.843663692474365,18.396629571914673,0.2139425277709961,0.2552788257598877,0.2656548023223877,0.26229286193847656,0.24752116203308105,0.9194501924686118,0.8932743053557107,0.8918083118070318,0.9058068290910899,0.9140433399578558,-66789471.68618841,-101462154.41601485,-92941754.7271949,-76837319.62424892,-67296865.73573598,-4962.637373852271,-5041.152582277843,-5341.3929251630125,-5120.886090105023,-4962.357677411278
employee_salaries,BERT : val last,0 days 00:00:34.930805,26.821840047836304,26.84027934074402,26.9104220867157,27.864874601364136,27.52664566040039,1.3291666507720947,1.3932039737701416,1.306229829788208,1.4460082054138184,1.391758918762207,0.8176401728864628,0.8057737723036653,0.814127194515121,0.8482193316954674,0.8514606067025373,-151207270.17195767,-184647301.40053526,-159673492.35755816,-123813856.25690074,-116293904.42004049,-7188.388285616126,-7458.383559229474,-7179.478434216727,-6959.915628295354,-6948.941808822299
employee_salaries,BERT : val last_four,0 days 00:03:46.208902,145.14173889160156,145.9831120967865,145.44673228263855,143.98448514938354,143.22854328155518,13.097822666168213,13.794243097305298,13.111183643341064,13.30099606513977,10.948484659194946,0.8443695733774413,0.8350581235871359,0.8323632137174144,0.8592460031905216,0.8695477706858327,-129044057.22343092,-156807207.39318925,-144007893.1585051,-114818937.9004902,-102133169.86465788,-6619.622846125571,-7009.526894739812,-6898.346706500873,-6540.137143124398,-6419.718823283832
employee_salaries,BERT : val_col last,0 days 00:00:33.106046,25.705745220184326,25.585132360458374,25.557481288909912,25.15078568458557,24.9477858543396,1.2779603004455566,1.2503504753112793,1.2049102783203125,1.144866943359375,1.1406514644622803,0.8283464899704365,0.8248219436780441,0.8184542422731128,0.8393668740984519,0.836359926260755,-142329914.86027962,-166538555.31299362,-155956354.57984975,-131035177.15817685,-128116472.4876065,-7110.022111014171,-7286.0158762255,-7388.873302536392,-7138.186801768438,-7243.8394449717525
employee_salaries,BERT : val_col last_four,0 days 00:03:39.103960,147.04266500473022,145.372065782547,144.20183086395264,146.5085904598236,143.33615446090698,11.110337018966675,12.394091129302979,13.12191367149353,12.065013408660889,12.969438552856445,0.8409171163969917,0.8195315195109986,0.8306945433932076,0.8397502820122931,0.8540081335721459,-131906730.45394944,-171568064.2382064,-145441359.5419519,-130722415.2441442,-114299404.2426468,-6970.177364811856,-7451.889877524941,-7182.005058729256,-6980.519345469597,-6851.2313304799745
employee_salaries,BERT : val_col_sep last,0 days 00:00:28.615554,23.334786891937256,22.90800189971924,23.056479692459106,22.926804304122925,22.914897918701172,1.269604206085205,1.1454801559448242,0.9470357894897461,1.1793878078460693,1.1175925731658936,0.8316267234445417,0.8118730034820295,0.8333535372383245,0.8439910379498569,0.8413614457600289,-139610044.16837928,-178848874.52966097,-143157158.62133032,-127263052.78422514,-124200701.60897674,-7161.34681825688,-7478.889377568876,-7104.04576512424,-7013.861732511913,-7029.070812890358
employee_salaries,BERT : val_col_sep last_four,0 days 00:03:43.369043,145.98439717292786,146.09260058403015,142.80767512321472,143.36688899993896,144.5356092453003,10.966572046279907,11.704457759857178,12.164947032928467,12.595474004745483,12.254482746124268,0.8377368436425852,0.8250265533121512,0.8349800471656419,0.8525845823174556,0.8502573360506873,-134543716.7310678,-166344036.6981467,-141759910.00407556,-120252938.2620493,-117235964.5636244,-7008.713356436874,-7290.476704662804,-6983.4296873777075,-6880.114309713622,-6888.250293869101
midwest_survey,TableVectorizer,0 days 00:00:20.400470,15.060482740402222,15.786716222763062,16.41269612312317,15.60874080657959,15.709590196609497,0.7150828838348389,0.7717223167419434,0.6592774391174316,0.6959056854248047,0.7218120098114014,0.7394789579158316,0.7555110220440882,0.7895791583166333,0.7715430861723447,0.7791164658634538,0.943911387122902,0.9602187338886787,0.9538773961252571,0.9552933594481412,0.9702163588708377,0.7175270516803476,0.7495976003178072,0.7801519183104101,0.7652429086037554,0.7799018635060667
midwest_survey,BERT : val last,0 days 00:01:57.888913,106.6692008972168,107.4662389755249,109.9533953666687,110.4660267829895,109.03084135055542,2.0048019886016846,1.9424922466278076,2.0550808906555176,2.017897129058838,1.9712789058685303,0.7094188376753507,0.7114228456913828,0.7194388777555111,0.7214428857715431,0.7670682730923695,0.9270218537408247,0.9450122673108581,0.9342555851535822,0.9431343651735405,0.9558863970839226,0.6962321995162759,0.7004551824238043,0.7015642933333464,0.7120329878910377,0.7624904198695904
midwest_survey,BERT : val last_four,0 days 00:07:17.734488,396.1624870300293,401.4448676109314,400.0814485549927,405.1489019393921,406.83877897262573,8.41334342956543,8.313018083572388,8.470203876495361,8.580621480941772,8.213516473770142,0.7154308617234469,0.717434869739479,0.7254509018036072,0.7214428857715431,0.7630522088353414,0.9293787484201221,0.9437389486702727,0.9331799000118272,0.9421021720680347,0.9560944449740335,0.7011716456704354,0.7062823475708081,0.7105380576050925,0.7109892891537639,0.7537006904942871
